Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,20,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,100000.0,20.0,0.0,20,20,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,50000.0,50000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1444,1176,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
4125,48,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,125000.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,20833.33333,20833.33333,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,2144298,5,3,413,234,395,0,82.6,174.6562337851,228,0,78.0,129.9384469662,301.7304497789,3.7308247268,306328.285714286,666881.149607563,1810926,68,2144298,536074.5,858756.594972638,1810926,142,92144,46072.0,51579.1970468715,82544,9600,0,0,0,0,112,68,2.3317654542,1.3990592725,0,395,71.8888888889,142.1446837244,20205.1111111111,0,0,0,1,0,0,0,0,0,80.875,82.6,78.0,112,0,0,0,0,0,0,5,413,3,234,8192,127,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,71861369,8,4,56,11601,20,0,7.0,5.656854249,8760,0,2900.25,4128.319301,162.2151117,0.166988191,6532851.727,19600000.0,65400000,48,71300000,10200000.0,24400000.0,65400000,131,586065,195355.0,320439.384,565177,189,0,0,0,0,172,92,0.111325461,0.05566273,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,882.0,0.0,882,882,35600000.0,42100000.0,65400000,5877235,DDoS
443,51061,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,235.0130236384,39.1688372731,51061.0,0.0,51061,51061,51061,51061.0,0.0,51061,51061,0,0.0,0.0,0,0,0,0,0,0,40,0,39.1688372731,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50175,3,2,0,37,0,37,0,18.5,26.1629509039,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.666666667,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,61,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
15000,40,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,200000.0,50000.0,40.0,0.0,40,40,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,25000.0,25000.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
63729,247359,2,3,37,18,37,0,18.5,26.1629509039,6,6,6.0,0.0,222.3488937132,20.2135357921,61839.75,123622.838945385,247274,1,247359,247359.0,0.0,247359,247359,4,2.0,1.4142135624,3,1,0,0,0,0,64,60,8.0854143168,12.1281214753,0,37,9.1666666667,13.948715592,194.5666666667,0,0,0,0,1,0,0,0,1,11.0,18.5,6.0,64,0,0,0,0,0,0,2,37,3,18,70,0,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,684944,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,16975.11037,11.67978696,97849.14286,256247.7024,678956,59,4993,2496.5,2208.294478,4058,935,684857,171214.25,338501.2126,678956,193,0,0,0,0,72,112,4.37992011,7.29986685,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
46394,343,3,3,31,18,31,0,10.3333333333,17.8978583449,6,6,6.0,0.0,142857.142857143,17492.7113702624,68.6,77.3744143758,179,1,343,171.5,241.1234123846,342,1,226,113.0,93.3380951166,179,47,0,0,0,0,96,60,8746.3556851312,8746.3556851312,0,31,7.0,11.0,121.0,0,0,0,0,1,0,0,0,1,8.1666666667,10.3333333333,6.0,96,0,0,0,0,0,0,3,31,3,18,939,0,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54487,3,2,0,37,0,37,0,18.5,26.1629509039,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.666666667,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,79,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5221770,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.766023781,1740590.0,3014023.037,5220884,96,5221770,2610885.0,3691095.984,5220884,886,0,0.0,0.0,0,0,0,0,0,0,104,40,0.574517836,0.191505945,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
21,291,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,48109.96564,10309.27835,145.5,88.38834765,208,83,291,291.0,0.0,291,291,0,0.0,0.0,0,0,1,0,0,0,64,20,6872.852234,3436.426117,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
22,71,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28169.01408,71.0,0.0,71,71,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14084.50704,14084.50704,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
80,5706115,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.701002346,1902038.333,3293658.016,5705227,124,5706115,2853057.5,4033576.789,5705227,888,0,0.0,0.0,0,0,0,0,0,0,104,40,0.525751759,0.175250586,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
3689,43,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,139534.8837,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,23255.81395,23255.81395,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
54743,3,2,0,37,0,37,0,18.5,26.1629509039,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.666666667,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,1012,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5245315,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.762585278,1748438.333,3027783.013,5244621,131,5245315,2622657.5,3708016.342,5244621,694,0,0.0,0.0,0,0,0,0,0,0,104,40,0.571938959,0.19064632,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
